Freq (Hz),Temp (K),bloco,Temp,Freq,Modulo Real (MPa),Modulo Imaginario (Mpa),Fator de Perda (Mpa)
0.1,233,B1,T1,F1,1267.9979,351.56351,0.27737
0.1,233,B2,T1,F1,1026.2822,335.33243,0.32642
0.1,233,B3,T1,F1,1504.0133,408.77591,0.27183
0.1,233,B4,T1,F1,1086.9518,352.19974,0.32411
0.1,233,B5,T1,F1,1088.1246,359.28055,0.33026
0.1,233,B6,T1,F1,1363.0309,473.86191,0.34745
0.1,233,B7,T1,F1,1212.0845,433.73294,0.35773
0.1,233,B8,T1,F1,1045.812,376.45468,0.35977
0.1,233,B9,T1,F1,956.8641,348.44818,0.36416
0.1,233,B10,T1,F1,1239.879,410.26816,0.33094
0.1,233,B11,T1,F1,1090.0696,332.77899,0.3053
0.1,233,B12,T1,F1,818.1754,303.27695,0.37075
0.1,233,B13,T1,F1,1201.1768,347.0491,0.28893
0.1,233,B14,T1,F1,1049.5632,323.94846,0.30862
0.1,233,B15,T1,F1,1063.655,334.2926,0.31431
0.1,233,B16,T1,F1,1210.8252,402.30225,0.33224
0.1,233,B17,T1,F1,1166.0189,342.16467,0.29346
0.1,233,B18,T1,F1,1252.4142,431.52585,0.34458
0.1,233,B19,T1,F1,987.7854,334.39197,0.33848
0.1,233,B20,T1,F1,1049.8882,300.34012,0.28608
0.1,233,B21,T1,F1,1273.2582,375.46173,0.29489
0.1,233,B22,T1,F1,1184.0607,468.90881,0.39599
0.1,233,B23,T1,F1,1150.7308,355.38217,0.30881
0.1,233,B24,T1,F1,1155.6907,391.54343,0.33879
0.1,233,B25,T1,F1,1219.9064,415.39395,0.34057
0.2,233,B1,T1,F2,1179.9683,417.59207,0.35372
0.2,233,B2,T1,F2,1240.5032,348.59329,0.28101
0.2,233,B3,T1,F2,1593.2705,392.70837,0.24661
0.2,233,B4,T1,F2,1186.1106,313.82648,0.26441
0.2,233,B5,T1,F2,1238.486,317.80432,0.25666
0.2,233,B6,T1,F2,1359.0488,376.52451,0.27739
0.2,233,B7,T1,F2,1374.416,368.27664,0.26794
0.2,233,B8,T1,F2,1259.8289,360.26385,0.28618
0.2,233,B9,T1,F2,1088.0289,327.98282,0.30149
0.2,233,B10,T1,F2,1328.9109,339.09747,0.25533
0.2,233,B11,T1,F2,1313.3103,40.17186,0.0466
0.2,233,B12,T1,F2,1034.9495,327.18652,0.31635
0.2,233,B13,T1,F2,1418.6835,336.02405,0.23688
0.2,233,B14,T1,F2,1180.0938,297.31638,0.25195
0.2,233,B15,T1,F2,1206.4139,308.68155,0.25588
0.2,233,B16,T1,F2,1463.4371,398.30188,0.27208
0.2,233,B17,T1,F2,1239.5756,291.51666,0.23513
0.2,233,B18,T1,F2,1453.0691,400.34698,0.27554
0.2,233,B19,T1,F2,1132.3284,332.51053,0.29364
0.2,233,B20,T1,F2,1171.3649,263.2471,0.22452
0.2,233,B21,T1,F2,1466.6821,378.45636,0.25805
0.2,233,B22,T1,F2,1331.2117,384.56586,0.28884
0.2,233,B23,T1,F2,1368.2939,359.57095,0.26264
0.2,233,B24,T1,F2,1277.8873,332.77963,0.26039
0.2,233,B25,T1,F2,1390.7544,377.0686,0.27126
0.5,233,B1,T1,F3,1571.2842,391.89114,0.24912
0.5,233,B2,T1,F3,1347.9751,337.8555,0.25032
